ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
7080	5463	F	495	2009	42375	31	1	1	2010	2010	Adults	1.825738818	1.314727571	0.569136861
7080	5463	F	2319	2009	42327	24	6	6	2015	2015	Adults	1.706334823	1.488817523	0.524181637
7081	5439	M	130	2009	42384	42	0	0	2009	2009	Lambs	1.291454846	0.057936922	0.55859243
7082	5115	F	490	2009	42375	31	1	1	2010	2010	Adults	1.657073069	0.39780954	0.417699912
7082	5115	F	1598	2009	42313	15	4	4	2013	2013	Adults	1.627435765	0.430307148	0.423956171
7082	5115	F	1960	2009	42311	2	5	5	2014	2014	Adults	1.134344568	0.435889139	0.449499802
7083	5133	M	124	2009	42384	42	0	0	2009	2009	Lambs	0.089301365	0.070115596	0.149549412
7083	5133	M	487	2009	42375	31	1	1	2010	2010	Adults	0.305729913	0.562860332	0.634392579
7083	5133	M	853	2009	42304	11	2	2	2011	2011	Adults	0.144296825	0.618392035	0.656706811
7083	5133	M	1222	2009	42320	20	3	3	2012	2012	Adults	0.486460679	0.829417125	0.626458505
7083	5133	M	1585	2009	42313	15	4	4	2013	2013	Adults	0.516643612	1.023745195	0.420755081
7084	6095	M	496	2009	42375	31	1	1	2010	2010	Adults	1.375391115	0.281875673	0.274915367
7085	5550	F	130	2009	42384	42	0	0	2009	2009	Lambs	1.917088137	0.133033288	0.359301713
7086	5441	M	132	2009	42384	42	0	0	2009	2009	Lambs	1.024722245	0.168985175	0.556072389
7086	5441	M	859	2009	42304	11	2	2	2011	2011	Adults	0.715679012	0.344945007	0.612048814
7088	5145	M	124	2009	42384	42	0	0	2009	2009	Lambs	0.221039951	0.012757722	0.075667427
7088	5145	M	489	2009	42375	31	1	1	2010	2010	Adults	1.000967368	0.695338045	0.561283085
7089	4455	F	123	2009	42384	42	0	0	2009	2009	Lambs	1.624802643	0	0.420359572
7089	4455	F	488	2009	42375	31	1	1	2010	2010	Adults	2.01044494	0.450172628	0.960983162
7089	4455	F	854	2009	42304	11	2	2	2011	2011	Adults	1.555123588	0.731743925	0.59022726
7091	6541	F	127	2009	42384	42	0	0	2009	2009	Lambs	0.670543233	0	0.090973307
7091	6541	F	489	2009	42375	31	1	1	2010	2010	Adults	0.406873784	0.436139233	0.419286284
7091	6541	F	1232	2009	42320	20	3	3	2012	2012	Adults	0.75770354	0.636775987	0.557892449
7091	6541	F	1952	2009	42311	2	5	5	2014	2014	Adults	0.501116801	0.527954094	0.351775725
7092	5601	F	1959	2009	42311	2	5	5	2014	2014	Adults	1.200797361	0.629918341	0.544392419
7093	5733	F	129	2009	42384	42	0	0	2009	2009	Lambs	0.775854449	0.03133382	0.424384356
7093	5733	F	486	2009	42375	31	1	1	2010	2010	Adults	1.476272227	0.368747732	0.949479717
7093	5733	F	1223	2009	42320	20	3	3	2012	2012	Adults	1.826655818	0.602647221	1.047158684
7093	5733	F	1956	2009	42311	2	5	5	2014	2014	Adults	1.699093411	0.841981582	0.971460393
7094	6104	F	129	2009	42384	42	0	0	2009	2009	Lambs	0.126159891	0.040413929	0.139995334
7095	6303	F	129	2009	42384	42	0	0	2009	2009	Lambs	1.77739128	0.135415868	0.562906836
7099	5156	F	123	2009	42384	42	0	0	2009	2009	Lambs	1.922734402	0.104684255	0.425427625
7100	5156	F	123	2009	42384	42	0	0	2009	2009	Lambs	1.065856166	0.022359655	0.278678863
7101	4440	M	122	2009	42384	42	0	0	2009	2009	Lambs	0.410527879	0.035940927	0.089969123
7102	5435	M	124	2009	42391	48	0	0	2009	2009	Lambs	0.068036365	0.008911123	0.110661876
7103	5435	M	124	2009	42384	42	0	0	2009	2009	Lambs	0.531496033	0.510627872	0.248295087
7105	6157	M	123	2009	42389	43	0	0	2009	2009	Lambs	0.325898207	0.002642185	0.07670421
7105	6157	M	486	2009	42375	31	1	1	2010	2010	Adults	0.94228546	0.328332413	0.330785917
