ID	MOTHER	FATHER
1428	NA	NA
1429	NA	NA
1430	279	NA
1431	502	NA
1432	502	NA
1433	978	NA
1434	NA	NA
1435	NA	NA
213	NA	NA
1436	NA	NA
1437	826	NA
1438	986	NA
1439	NA	NA
1440	274	NA
1441	NA	NA
1442	NA	NA
1443	1171	NA
1444	492	NA
1445	NA	NA
214	NA	NA
1446	NA	NA
1447	NA	NA
1448	NA	NA
1449	NA	NA
1450	1185	NA
1451	1312	NA
1452	NA	NA
1453	NA	NA
1454	NA	NA
1455	83	NA
215	NA	NA
1456	NA	NA
1457	NA	NA
1458	1150	NA
1459	86	NA
1460	651	NA
1461	NA	NA
1462	NA	NA
1463	1152	NA
1464	NA	NA
1465	NA	NA
216	NA	NA
1466	NA	NA
1467	NA	NA
1468	1172	NA
1469	NA	NA
1470	1168	NA
1471	NA	NA
1472	NA	NA
1473	NA	NA
1474	637	NA
1475	NA	NA
96	NA	NA
217	NA	NA
1476	650	NA
